Sem informação,Sem informação,Sem informação
Setor Público,Serviços de Saúde Mental,Gerente/Gestor(a)
Setor Público,Serviços de Saúde Mental,Segurança
Setor Público,Serviços de Saúde Mental,Assistente Social
Setor Público,Serviços de Saúde Mental,Psicólogo(a)
Setor Público,Serviços de Saúde Mental,Médico(a)
Setor Público,Serviços de Saúde Mental,Monitor(a)
Setor Público,Serviços de Saúde Mental,Farmacêutico(a)
Setor Público,Serviços de Saúde Mental,Fisioterapeuta
Setor Público,Serviços de Saúde Mental,Nutricionista
Setor Público,Serviços de Saúde Mental,Técnico(a)
Setor Público,Unidade de Pronto Atendimento (UPA),Função não identificada
Setor Público,Unidade de Pronto Atendimento (UPA),Guarda Municipal
Setor Público,Unidade de Pronto Atendimento (UPA),Segurança
Setor Público,Unidade de Pronto Atendimento (UPA),Enfermeiro(a)
Setor Público,Unidade de Pronto Atendimento (UPA),Médico(a)
Setor Público,Unidade de Pronto Atendimento (UPA),Assistente Social
Setor Público,Unidade de Pronto Atendimento (UPA),Nutricionista
Setor Público,Unidade de Pronto Atendimento (UPA),Farmacêutico(a)
Setor Público,Unidade de Pronto Atendimento (UPA),Fisioterapeuta
Setor Público,Unidade de Pronto Atendimento (UPA),Dentista
Setor Público,Unidade de Pronto Atendimento (UPA),Técnico(a)
Setor Público,Unidade Penitenciária,Função não identificada
Setor Público,Unidade Penitenciária,Diretor do Presídio
Setor Público,Unidade Penitenciária,Agente Penitenciário
Setor Público,Unidade Penitenciária,Psicólogo(a)
Setor Público,Unidade Penitenciária,Farmacêutico(a)
Setor Público,Unidade Penitenciária,Médico(a)
Setor Público,Unidade Penitenciária,Nutricionista
Setor Público,Unidade Penitenciária,Cozinheiro(a)
Setor Público,Unidade Penitenciária,Técnico(a)
Setor Público,Serviço Municipal de Abordagem Social,Função não identificada
Setor Público,Serviço Municipal de Abordagem Social,Técnico(a) Social (Assistente Social)
Setor Público,Serviço Municipal de Abordagem Social,Técnico(a) Social (Psicólogo)
Setor Público,Serviço Municipal de Abordagem Social,Técnico(a)
Setor Público,Serviço Municipal de Abordagem Social,Educador(a) Social
Setor Público,Serviço Municipal de Abordagem Social,Agente
Setor Público,Universidade,Função não identificada
Setor Público,Universidade,Reitor(a)
Setor Público,Universidade,Professor(a)
Setor Público,Universidade,Assistente/Auxiliar administrativo
Setor Público,Universidade,Aluno(a)
Setor Público,Universidade,Técnico(a)
Sociedade Civil Organizada,Movimento Social,Função não especificada
Sociedade Civil Organizada,Movimento Social,Manifestante
Sociedade Civil Organizada,Mobilização Social,Função não especificada
Sociedade Civil Organizada,Mobilização Social,Manifestante
Sem vínculo institucional,Sem vínculo,Pessoa física
Sem vínculo institucional,Sem vínculo,Catador de Material Reciclável
Sem vínculo institucional,Sem vínculo,Criança/Adolescente
Sem vínculo institucional,Sem vínculo,Parente da vítima
Sem vínculo institucional,Sem vínculo,Pessoa em Situação de Rua
Sem vínculo institucional,Sem vínculo,Pessoa em Situação de Rua e Catador de Material Reciclável
Setor Público,Outras Secretarias e Superintendências Municipais,Função não identificada
Setor Público,Defensoria Pública,Função não identificada
Setor Público,Defensoria Pública,Defensor Público
Setor Público,Defensoria Pública,Assistente/Auxiliar administrativo
Setor Público,Defensoria Pública,Técnico(a)
